timestamp,symbol,time,price,reason
2026-01-26 09:25:26.571297524,600185.SH,09:15:00.510,7.16,弱转强绿开翻红 (直接突破)
2026-01-26 09:25:27.920419709,600651.SH,09:15:00.010,9.04,弱转强绿开翻红 (直接突破)
2026-01-26 09:25:32.020139836,605488.SH,09:15:00.160,48.21,弱转强绿开翻红 (直接突破)
2026-01-26 09:25:39.269093437,600829.SH,09:15:00.000,12.24,弱转强绿开翻红 (直接突破)
2026-01-26 09:25:42.659500191,688326.SH,09:15:00.310,146.40,弱转强绿开翻红 (直接突破)
2026-01-26 09:25:44.773049084,600063.SH,09:15:02.140,7.40,弱转强绿开翻红 (直接突破)
2026-01-26 09:30:11.116720674,603421.SH,09:30:07.380,7.98,弱转强绿开翻红 (动力学触发)
2026-01-26 09:31:00.666168978,688779.SH,09:30:39.760,10.68,追4/6 (动力学触发)
2026-01-26 09:31:02.655553798,600133.SH,09:30:40.980,11.19,弱转强高开新高 (动力学触发)
2026-01-26 09:31:11.708067014,600750.SH,09:30:46.810,24.85,追4/6 (动力学触发)
2026-01-26 09:31:40.854169661,600477.SH,09:31:04.680,4.12,追4/6 (动力学触发)
2026-01-26 09:32:09.429885792,601678.SH,09:31:22.520,5.54,追4/6 (动力学触发)
2026-01-26 09:32:15.569079561,688390.SH,09:31:26.670,102.71,追4/6 (动力学触发)
2026-01-26 09:32:17.827614264,688090.SH,09:31:28.270,50.22,追4/6 (直接突破)
2026-01-26 09:32:28.079443797,605056.SH,09:31:35.270,20.64,追4/6 (直接突破)
2026-01-26 09:32:40.213795185,600785.SH,09:31:43.290,24.37,追4/6 (动力学触发)
2026-01-26 09:32:51.922341983,603718.SH,09:31:52.360,7.02,追新高 (直接突破)
2026-01-26 09:32:54.072190372,603220.SH,09:31:54.290,27.26,追4/6 (动力学触发)
2026-01-26 09:32:56.355224464,600251.SH,09:31:55.840,11.29,追4/6 (直接突破)
2026-01-26 09:32:56.509582470,603626.SH,09:31:55.700,23.63,追4/6 (直接突破)
2026-01-26 09:32:58.858511907,603505.SH,09:31:58.010,21.85,追4/6 (动力学触发)
2026-01-26 09:32:59.862109797,600641.SH,09:31:58.790,20.37,弱转强高开新高 (动力学触发)
2026-01-26 09:33:26.972598405,605111.SH,09:32:22.310,45.76,追4/6 (动力学触发)
2026-01-26 09:33:36.219118455,688028.SH,09:32:31.050,93.76,追4/6 (直接突破)
2026-01-26 09:35:20.665430356,601869.SH,09:34:22.000,120.40,弱转强高开新高 (动力学触发)
2026-01-26 09:35:27.010114888,603619.SH,09:34:29.850,29.86,追4/6 (直接突破)
2026-01-26 09:37:09.527156709,600226.SH,09:36:44.190,6.54,追4/6 (直接突破)
2026-01-26 09:37:33.531458610,600877.SH,09:37:17.290,23.68,追4/6 (直接突破)
2026-01-26 09:37:50.165805052,600222.SH,09:37:39.280,7.26,追4/6 (直接突破)
